"symbol","symbol","probeset","correlation","sd"
"ITGA10","ITGA10","206766_at","0.231875187969925","8.21753102394281"
"WISP1","WISP1","206796_at","0.131330827067669","4.66726798067728"
"NGFB","NGFB","206814_at","0.212362406015038","7.52852660813992"
"CHAD","CHAD","206869_at","0.0847872180451127","3.02379386109317"
"MATN1","MATN1","206904_at","0.110836842105263","3.94361688012474"
"IL11","IL11","206924_at","0.178024060150376","6.31602538782092"
"MATN4","MATN4","207123_s_at","0.255426315789474","9.04913110548544"
"TNIP1","TNIP1","207196_s_at","0.0897706766917294","3.19976185076417"
"RBMS1","RBMS1","207266_x_at","0.095372932330827","3.39757981863360"
"HBP1","HBP1","207361_at","0.106309774436090","3.78376424496948"
"EDIL3","EDIL3","207379_at","0.205452631578947","7.28453960978799"
"P4HA1","P4HA1","207543_s_at","0.103572932330827","3.68712521624250"
"SHOX","SHOX","207570_at","0.091493984962406","3.26061257984171"
"SLC4A7","SLC4A7","207604_s_at","0.0925503759398496","3.29791418296297"
"FZD9","FZD9","207639_at","0.201213533834586","7.13485531199604"
"TNFRSF1A","TNFRSF1A","207643_s_at","0.0865075187969925","3.08453839343585"
"SERPINH1","SERPINH1","207714_s_at","0.100600751879699","3.58217629301235"
"CXCL3","CXCL3","207850_at","0.0915037593984963","3.26095771923002"
"AMPD3","AMPD3","207992_s_at","0.115638345864662","4.11315996733643"
"FSTL1","FSTL1","208782_at","0.092718045112782","3.30383465093169"
"COL6A2","COL6A2","209156_s_at","0.113435338345865","4.03537085904795"
"NFKB1","NFKB1","209239_at","0.0852796992481203","3.04118357642729"
"CDC42EP3","CDC42EP3","209287_s_at","0.092557894736842","3.29817967480013"
"CDC42EP3","CDC42EP3","209288_s_at","0.0887052631578947","3.16214165743831"
"TNFRSF10B","TNFRSF10B","209294_x_at","0.09046992481203","3.22445259162024"
"TNFRSF10B","TNFRSF10B","209295_at","0.0968082706766917","3.44826221034783"
"EFEMP2","EFEMP2","209356_x_at","0.0984812030075188","3.50733414411638"
"THBS3","THBS3","209561_at","0.102123308270677","3.63593839003768"
"POFUT2","POFUT2","209578_s_at","0.119374436090226","4.24508286122224"
"MOXD1","MOXD1","209708_at","0.0874714285714286","3.11857444696002"
"TGFB3","TGFB3","209747_at","0.0884165413533835","3.15194677089129"
"CXCL2","CXCL2","209774_x_at","0.0982165413533835","3.49798883144828"
"CHST3","CHST3","209834_at","0.118352631578947","4.20900252055189"
"CD44","CD44","209835_x_at","0.117779699248120","4.18877204256015"
"RBMS1","RBMS1","209868_s_at","0.0883030075187969","3.14793784415014"
"RELA","RELA","209878_s_at","0.115583458646616","4.11122187692511"
